iterations ,offDiag
1,4236.444263
2,4161.83299
3,4000.071257
4,3860.319663
5,3728.823475
6,3644.597202
7,3523.69372
8,3364.77273
9,3269.812895
10,3164.911177
11,3066.287735
12,2929.976207
13,2850.805822
14,2762.274903
15,2640.857216
16,2544.766372
17,2464.310352
18,2376.759133
19,2312.926453
20,2251.991809
21,2212.309778
22,2173.043424
23,2157.733014
24,2115.227062
25,2095.453399
26,2043.820805
27,1992.184223
28,1955.154354
29,1941.677275
30,1920.45914
31,1914.480404
32,1880.110502
33,1847.927286
34,1810.932658
35,1782.163923
36,1730.575703
37,1699.852603
38,1691.653871
39,1654.672909
40,1623.959772
41,1592.672731
42,1575.731635
43,1543.511228
44,1516.473879
45,1505.288473
46,1483.770787
47,1459.327644
48,1440.338685
49,1415.580478
50,1393.567889
51,1381.319967
52,1359.420658
53,1322.645056
54,1294.567505
55,1287.411708
56,1265.843322
57,1250.409014
58,1223.575671
59,1203.308101
60,1183.932894
61,1163.957907
62,1145.287168
63,1124.822909
64,1108.690458
65,1107.010429
66,1090.990293
67,1071.174066
68,1066.371077
69,1047.70185
70,1026.482163
71,1014.352416
72,1005.189009
73,989.51503
74,972.429878
75,963.273004
76,956.327863
77,943.155925
78,921.515244
79,909.713523
80,899.914643
81,880.49671
82,865.693071
83,852.692893
84,839.35363
85,825.056306
86,811.58939
87,799.443574
88,793.875501
89,779.122958
90,760.93901
91,750.100542
92,739.266076
93,727.49367
94,713.720309
95,698.299603
96,683.173816
97,669.117355
98,654.197777
99,642.137212
100,631.650222
101,624.231961
102,618.599887
103,606.254788
104,593.599772
105,583.123893
106,572.955295
107,560.270238
108,552.507223
109,545.053784
110,534.21816
111,518.694247
112,511.577306
113,503.464379
114,494.696879
115,485.411641
116,476.393
117,468.55737
118,461.084787
119,456.42467
120,449.044005
121,442.212311
122,435.19841
123,428.438232
124,421.743602
125,416.08335
126,410.981196
127,404.247671
128,398.712813
129,401.083104
130,396.480472
131,390.841533
132,384.311404
133,378.517125
134,372.500139
135,366.683861
136,362.542303
137,358.480271
138,352.407163
139,347.341735
140,341.612188
141,336.547498
142,331.497055
143,326.381214
144,321.74745
145,316.77971
146,317.368152
147,314.541214
148,310.972332
149,306.722814
150,302.226015
151,298.673416
152,294.398814
153,292.064437
154,288.826421
155,284.383321
156,281.150191
157,277.091086
158,273.193993
159,269.194936
160,265.031248
161,261.360872
162,257.447381
163,253.594341
164,250.079193
165,246.394472
166,242.939755
167,239.916136
168,236.409495
169,232.982316
170,229.309937
171,226.741547
172,223.962143
173,220.584423
174,217.169562
175,217.350539
176,214.144369
177,210.956802
178,207.833944
179,204.628411
180,201.10968
181,198.442712
182,195.160649
183,192.218748
184,193.912478
185,190.772878
186,187.479193
187,186.167571
188,183.250469
189,180.507838
190,177.657695
191,175.105465
192,172.281017
193,169.76881
194,167.186513
195,164.698096
196,162.342815
197,159.875719
